               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.029663,            0.020183,           0.0028087,             0.71191,             0.54567,              0.6139,             0.36164,            0.037409,             0.02652,           0.0091761,            0.004555,            0.004555,            0.004555
                 112,            0.029561,            0.020048,           0.0028152,             0.71009,             0.54694,             0.61482,             0.36161,             0.03739,            0.026511,           0.0091653,           0.0045055,           0.0045055,           0.0045055
                 113,            0.029774,            0.020026,           0.0028167,              0.7072,             0.54973,             0.61543,             0.36207,            0.037357,            0.026503,           0.0091766,            0.004456,            0.004456,            0.004456
                 114,            0.029817,            0.020212,           0.0028602,             0.70916,             0.54902,              0.6156,             0.36217,            0.037345,            0.026522,           0.0091776,           0.0044065,           0.0044065,           0.0044065
                 115,            0.029557,            0.020198,           0.0028467,             0.71112,             0.54777,             0.61569,             0.36243,            0.037327,            0.026538,           0.0091756,            0.004357,            0.004357,            0.004357
                 116,            0.029624,            0.020173,           0.0028153,             0.70928,             0.54807,             0.61527,             0.36235,            0.037312,             0.02656,           0.0091809,           0.0043075,           0.0043075,           0.0043075
                 117,            0.029454,            0.019963,           0.0028134,             0.71266,             0.54745,             0.61563,             0.36272,            0.037287,            0.026581,           0.0091732,            0.004258,            0.004258,            0.004258
                 118,            0.029308,            0.019876,           0.0026804,             0.71212,             0.54771,             0.61582,             0.36295,            0.037261,            0.026589,           0.0091911,           0.0042085,           0.0042085,           0.0042085
                 119,            0.029177,            0.019932,           0.0027658,             0.71668,             0.54676,              0.6161,             0.36298,            0.037249,              0.0266,           0.0091867,            0.004159,            0.004159,            0.004159
                 120,            0.029348,            0.020022,           0.0027289,             0.71471,             0.54677,             0.61631,             0.36319,            0.037214,            0.026611,           0.0091758,           0.0041095,           0.0041095,           0.0041095
                 121,            0.029289,            0.019896,           0.0027525,             0.71227,             0.54799,             0.61604,             0.36317,            0.037177,            0.026602,           0.0091807,             0.00406,             0.00406,             0.00406
                 122,            0.028975,            0.019693,           0.0027344,             0.71717,             0.54641,              0.6169,             0.36357,            0.037136,            0.026596,           0.0091706,           0.0040105,           0.0040105,           0.0040105
                 123,            0.029255,            0.019852,           0.0026547,             0.71757,             0.54595,             0.61744,             0.36367,            0.037113,            0.026623,           0.0091603,            0.003961,            0.003961,            0.003961
                 124,             0.02913,             0.01981,           0.0027455,               0.724,             0.54385,             0.61765,             0.36399,            0.037082,            0.026618,           0.0091548,           0.0039115,           0.0039115,           0.0039115
                 125,            0.029108,            0.020077,           0.0026144,             0.72362,             0.54474,               0.619,             0.36445,            0.037045,            0.026621,             0.00914,            0.003862,            0.003862,            0.003862
                 126,            0.029307,            0.020023,           0.0027219,             0.72457,             0.54277,             0.61855,             0.36463,            0.036999,            0.026617,           0.0091287,           0.0038125,           0.0038125,           0.0038125
                 127,            0.029088,            0.019883,           0.0027119,              0.7259,             0.54406,             0.61925,             0.36476,            0.036963,            0.026622,           0.0091228,            0.003763,            0.003763,            0.003763
                 128,            0.028886,            0.019703,           0.0025968,             0.72563,              0.5425,             0.61915,             0.36492,            0.036943,            0.026623,            0.009116,           0.0037135,           0.0037135,           0.0037135
                 129,             0.02878,            0.019653,           0.0026993,             0.72512,             0.54292,             0.61933,             0.36504,             0.03692,            0.026617,           0.0091087,            0.003664,            0.003664,            0.003664
                 130,            0.028803,            0.019951,           0.0027432,             0.72638,             0.54372,              0.6202,             0.36533,            0.036894,            0.026608,           0.0091041,           0.0036145,           0.0036145,           0.0036145
                 131,            0.028682,            0.019702,           0.0026712,             0.72545,              0.5428,              0.6203,             0.36564,            0.036883,            0.026617,           0.0090944,            0.003565,            0.003565,            0.003565
                 132,            0.028705,            0.019872,           0.0025966,             0.72461,             0.54342,             0.62036,             0.36544,            0.036862,            0.026636,           0.0090848,           0.0035155,           0.0035155,           0.0035155
                 133,            0.028512,            0.019582,           0.0026311,             0.72307,             0.54404,             0.62065,             0.36544,            0.036838,            0.026669,            0.009079,            0.003466,            0.003466,            0.003466
                 134,            0.028491,            0.019677,           0.0025561,              0.7225,             0.54494,             0.62086,              0.3655,            0.036816,            0.026698,           0.0090803,           0.0034165,           0.0034165,           0.0034165
                 135,            0.028536,            0.019527,            0.002516,             0.72331,             0.54408,             0.62049,             0.36568,            0.036798,             0.02671,           0.0090782,            0.003367,            0.003367,            0.003367
                 136,            0.028426,            0.019568,           0.0026791,              0.7219,             0.54417,             0.62027,             0.36595,            0.036788,            0.026735,           0.0090739,           0.0033175,           0.0033175,           0.0033175
                 137,            0.028335,            0.019506,           0.0025656,             0.72149,             0.54388,             0.62006,             0.36594,            0.036779,            0.026767,           0.0090757,            0.003268,            0.003268,            0.003268
                 138,            0.028179,            0.019447,           0.0025934,             0.72204,               0.545,              0.6205,             0.36653,            0.036753,            0.026782,           0.0090799,           0.0032185,           0.0032185,           0.0032185
                 139,            0.028773,             0.01983,           0.0025582,             0.72113,             0.54428,             0.61995,              0.3664,            0.036736,            0.026785,           0.0090709,            0.003169,            0.003169,            0.003169
                 140,            0.028156,            0.019484,           0.0025553,             0.71993,             0.54234,             0.61965,             0.36649,            0.036732,            0.026809,           0.0090817,           0.0031195,           0.0031195,           0.0031195
                 141,            0.028309,            0.019274,           0.0026253,             0.71607,             0.54552,             0.61964,             0.36647,            0.036711,            0.026819,           0.0090867,             0.00307,             0.00307,             0.00307
                 142,             0.02822,            0.019362,           0.0025634,             0.71536,             0.54939,             0.62052,             0.36685,            0.036692,             0.02682,           0.0090965,           0.0030205,           0.0030205,           0.0030205
                 143,             0.02797,            0.019174,           0.0025362,             0.71628,             0.54887,              0.6212,             0.36717,            0.036675,            0.026835,              0.0091,            0.002971,            0.002971,            0.002971
                 144,            0.027941,            0.019071,           0.0025947,             0.71471,             0.54964,             0.62117,             0.36733,            0.036653,            0.026838,           0.0090834,           0.0029215,           0.0029215,           0.0029215
                 145,            0.028091,            0.019431,           0.0023927,             0.71526,             0.54988,             0.62149,             0.36754,            0.036632,            0.026823,            0.009084,            0.002872,            0.002872,            0.002872
                 146,            0.027756,              0.0194,           0.0024414,             0.71615,             0.55072,             0.62245,             0.36778,            0.036613,            0.026836,           0.0090796,           0.0028225,           0.0028225,           0.0028225
                 147,            0.027776,            0.019291,           0.0024408,             0.71451,             0.55098,              0.6221,             0.36792,            0.036589,            0.026843,           0.0090853,            0.002773,            0.002773,            0.002773
                 148,            0.027785,             0.01924,           0.0025496,             0.71259,             0.55113,             0.62262,             0.36824,             0.03657,            0.026839,           0.0090698,           0.0027235,           0.0027235,           0.0027235
                 149,            0.027806,            0.019189,           0.0024534,             0.71237,             0.55127,             0.62223,             0.36828,            0.036555,            0.026849,           0.0090615,            0.002674,            0.002674,            0.002674
                 150,            0.027655,            0.019137,           0.0023795,             0.71022,             0.55252,             0.62231,              0.3688,            0.036528,            0.026884,           0.0090583,           0.0026245,           0.0026245,           0.0026245
                 151,            0.027675,            0.019099,           0.0024195,             0.71091,             0.55042,             0.62212,             0.36892,            0.036506,            0.026901,             0.00906,            0.002575,            0.002575,            0.002575
                 152,            0.027643,            0.019003,           0.0024476,             0.71117,             0.55071,             0.62206,             0.36864,            0.036475,            0.026915,           0.0090612,           0.0025255,           0.0025255,           0.0025255
                 153,            0.027519,             0.01926,            0.002323,             0.70604,             0.55407,             0.62235,             0.36909,            0.036454,            0.026932,           0.0090611,            0.002476,            0.002476,            0.002476
                 154,            0.027567,            0.019017,           0.0023674,             0.70723,             0.55348,             0.62282,             0.36958,            0.036422,            0.026932,           0.0090668,           0.0024265,           0.0024265,           0.0024265
                 155,            0.027622,            0.018959,           0.0023922,             0.70521,             0.55426,             0.62247,             0.36947,            0.036414,            0.026961,           0.0090812,            0.002377,            0.002377,            0.002377
                 156,            0.027396,            0.019003,           0.0023536,             0.70383,             0.55547,             0.62268,             0.36949,            0.036406,            0.027008,           0.0090995,           0.0023275,           0.0023275,           0.0023275
                 157,            0.027222,            0.019055,           0.0023998,             0.70465,             0.55304,             0.62266,              0.3695,             0.03641,            0.027044,           0.0091103,            0.002278,            0.002278,            0.002278
